q,deltaI_0.6ns,deltaI_-5ns
0.0028482112292827853,,
0.008544633687848356,,
0.014241056146413925,,
0.019937478604979495,,
0.025633901063545062,,
0.03133032352211064,,
0.0370267459806762,,
0.04272316843924178,,
0.04841959089780734,,
0.05411601335637291,,
0.05981243581493848,,
0.06550885827350406,,
0.07120528073206962,,
0.07690170319063519,,
0.08259812564920077,,
0.08829454810776634,,
0.0939909705663319,,
0.09968739302489747,,
0.10538381548346304,,
0.11108023794202862,,
0.11677666040059419,,
0.12247308285915975,,
0.12816950531772534,,
0.1338659277762909,,
0.13956235023485647,,
0.14525877269342202,,
0.1509551951519876,,
0.15665161761055318,,
0.16234804006911874,,
0.16804446252768432,,
0.1737408849862499,,
0.17943730744481545,,
0.18513372990338103,,
0.1908301523619466,,
0.19652657482051217,,
0.20222299727907778,,
0.20791941973764327,,
0.21361584219620888,,
0.21931226465477446,,
0.22500868711334002,,
0.2307051095719056,,
0.23640153203047115,,
0.2420979544890367,,
0.24779437694760229,,
0.25349079940616787,,
0.2591872218647335,,
0.26488364432329903,,
0.2705800667818646,,
0.27627648924043013,,
0.2819729116989957,,
0.2876693341575613,,
0.29336575661612685,,
0.2990621790746924,,
0.304758601533258,,
0.31045502399182356,,
0.3161514464503892,,
0.3218478689089547,,
0.3275442913675203,,
0.33324071382608583,,
0.3389371362846514,,
0.344633558743217,,
0.3503299812017826,0.028576200912672912,-0.049555770970470474
0.35602640366034816,-0.05452817875031514,-0.05624727937737312
0.3617228261189137,-0.041768198877778606,-0.020857681353342736
0.36741924857747926,-0.04169544656648641,0.018788324259360056
0.3731156710360448,-0.011645351940419886,0.06290907091462362
0.3788120934946104,-0.033619273314847785,0.033615513933737316
0.384508515953176,-0.11946984215702464,-0.01107940690055842
0.39020493841174153,-0.10829866884527346,-0.05867800905679882
0.39590136087030714,-0.0989216557037039,-0.054861541417742896
0.40159778332887275,-0.1358759237299837,-0.028017788805906215
0.40729420578743825,-0.19433660876834213,0.012829936862907482
0.4129906282460038,-0.0772298617162762,0.022265937165120854
0.41868705070456946,-0.04563839206410593,0.0345524920910302
0.424383473163135,0.04182809708999216,0.03196288211150444
0.43007989562170057,0.09897796255975262,0.01967830745160621
0.4357763180802661,-0.07188875295873874,0.02842150499532534
0.4414727405388317,-0.1182541498677815,0.05430013584998243
0.4471691629973973,-0.16329796226180518,0.058840303574011495
0.45286558545596284,-0.19425444111814708,-0.014732944207466367
0.4585620079145284,-0.13019834787445855,-0.07070668821977474
0.46425843037309394,-0.006331147556010437,-0.10772142734471618
0.4699548528316595,-0.019101927109885977,-0.07720988840906994
0.4756512752902251,0.011953612842658636,-0.07080368114408621
0.48134769774879066,-0.05812030410789165,-0.07430802167115796
0.4870441202073562,-0.1227374753032556,-0.0910579576945862
0.49274054266592177,-0.08075624934752414,-0.048067524715728796
0.4984369651244873,-0.04523989351953931,-0.03887578260465682
0.504133387583053,0.056924234117478344,-0.04337584112410717
0.5098298100416185,0.042321044815490566,-0.06501768467809231
0.5155262325001841,0.011324772148643449,-0.06763620620608633
0.5212226549587496,-0.038224481300825786,-0.007454501718153606
0.5269190774173153,0.022981336269442355,-0.018148419602795104
0.5326154998758809,0.10084894613420857,-0.060263108610612806
0.5383119223344464,0.1297406950161909,-0.12128239145902629
0.544008344793012,0.16332762334475903,-0.16957906658838365
0.5497047672515775,0.22240731426604807,-0.18720602213360857
0.5554011897101431,0.16782802950120515,-0.12633467002992066
0.5610976121687087,0.0545568244384391,-0.08962444200436041
0.5667940346272742,-0.04377126287164251,-0.0520529800749929
0.5724904570858398,-0.2141782584785253,0.0043692032705767315
0.5781868795444053,-0.05125943077399931,-0.03712558673355862
0.5838833020029709,-0.017918606031694897,-0.003995436797713848
0.5895797244615365,0.13049938074861892,-0.0434035869058768
0.595276146920102,0.18450053057295185,-0.042776033844460354
0.6009725693786677,0.06345065816774906,-0.03968133618300546
0.6066689918372332,0.02550469670331258,-0.08447156208057756
0.6123654142957988,-0.011331537025182886,-0.10358785687174536
0.6180618367543644,0.0215897150498392,-0.07814205217713018
0.6237582592129299,0.09265243802184017,-0.021039729379083282
0.6294546816714955,0.24914240680988806,0.009792701278670312
0.635151104130061,0.22515901453682907,0.016878483421626234
0.6408475265886266,0.12089806434895956,-0.05233172804568077
0.6465439490471923,0.005743039625061697,-0.035274347378965155
0.6522403715057578,-0.09048666852960253,-0.04110006118287691
0.6579367939643234,-0.005234547163106109,-0.002899795399646067
0.6636332164228889,-0.062451516144359114,0.040839047530920616
0.6693296388814545,0.045972024517465265,0.03724460747010125
0.6750260613400201,0.16325062762706852,-0.0345741088020626
0.6807224837985856,0.1628900338228146,-0.0984489090325808
0.6864189062571513,0.1787653218856976,-0.1287800749994322
0.6921153287157168,0.07846391024548749,-0.10267128876104456
0.6978117511742824,0.14448273597763944,-0.10550464232040364
0.7035081736328479,0.1083896416220839,-0.08186215883515281
0.7092045960914135,0.05855227294831331,-0.14617253567686225
0.7149010185499791,-0.03244932874656461,-0.10160377877851642
0.7205974410085446,-0.23838727520126,-0.11526090908319718
0.7262938634671102,-0.17117319917632176,-0.10617813589520719
0.7319902859256757,-0.16770315035495634,-0.1411485353846704
0.7376867083842413,-0.05140788486549266,-0.1598369997247222
0.7433831308428069,0.0012229914281268307,-0.13615129811466906
0.7490795533013724,-0.007497182497469947,-0.1500237767724042
0.754775975759938,-0.05437629126199658,-0.20135832685092345
0.7604723982185035,-0.18929985659135792,-0.17894157423673593
0.7661688206770692,-0.2660677531758697,-0.07415292336874967
0.7718652431356348,-0.2473935514709624,-0.08836402884173772
0.7775616655942003,-0.28049017087294664,-0.04986178975073242
0.783258088052766,-0.21660857797978994,-0.030132704008552804
0.7889545105113315,-0.15997962174675073,-0.016085272254655808
0.7946509329698971,-0.1237515599387545,0.1329448544873372
0.8003473554284627,0.06817894348854302,0.08217813014295486
0.8060437778870281,0.1338489636975826,0.0639747679911451
0.8117402003455937,0.12690715461394192,0.030387024233053162
0.8174366228041592,-0.040258490810516,-0.08702557025238934
0.8231330452627248,-0.017154050098311273,-0.05532578443714172
0.8288294677212905,0.07483552588012116,-0.035476929098966124
0.8345258901798561,0.12634294472831478,-0.047881470774520735
0.8402223126384216,0.11969800500506912,-0.025135442408779688
0.8459187350969872,-0.02020066914610859,0.006368178488144714
0.8516151575555528,-0.08697271475087782,0.06825902024547402
0.8573115800141183,0.054639158328066754,0.11182790560340328
0.8630080024726839,0.2229872501203035,0.14268485422853117
0.8687044249312494,0.18390640214493348,0.04283767593123133
0.874400847389815,0.09758300136823182,-0.00832968990163335
0.8800972698483807,-0.039839731100347435,-0.010945986878114135
0.8857936923069462,-0.19404617998973098,-0.08603092474443871
0.8914901147655118,-0.14671711889171185,-0.1058122255551089
0.8971865372240773,-0.08509009384757382,-0.07342917323594221
0.9028829596826429,0.0858119415295135,0.016939205549713624
0.9085793821412085,0.2712183625705034,0.03949725622927883
0.914275804599774,0.256449863072741,0.030085145221519716
0.9199722270583396,0.10284168917715321,-0.09117617569658987
0.9256686495169051,-0.1010250579231787,-0.15011074083293774
0.9313650719754707,-0.10857176824208908,-0.08839819425742362
0.9370614944340363,-0.11095846222970941,-0.04181514965873046
0.9427579168926018,-0.07852742413709057,0.035932629654167686
0.9484543393511674,-0.05141419300704178,-0.0222512645357109
0.9541507618097329,-0.1435100883875125,0.08768756998484853
0.9598471842682985,-0.1293417540657212,0.09710415941947045
0.9655436067268641,-0.1428074232911797,0.13066613096361707
0.9712400291854296,-0.12731840011018972,0.12495744334463053
0.9769364516439952,-0.025199102945494677,0.020984287875709565
0.9826328741025607,0.01693868797907187,0.07264375809851742
0.9883292965611263,0.16999836416315042,0.11675003488304511
0.994025719019692,0.13173058509858188,0.0870045881103348
0.9997221414782574,0.1298064221329374,0.08915313775701195
1.0054185639368232,0.01811407576893209,-0.05542342668991045
1.0111149863953888,-0.05298562322756944,-0.08072374297510422
1.0168114088539544,0.0013450198107594763,0.011719447281751809
1.02250783131252,0.19474552292334993,-0.005150428184459596
1.0282042537710854,0.2607318544577558,-0.007625661235740671
1.033900676229651,0.006937729768245346,-0.00456383554855181
1.0395970986882166,-0.018266636258702364,-0.04889260090969715
1.0452935211467822,-0.047512238312668376,-0.06474594012091361
1.0509899436053478,0.07767384024650857,-0.029939474769928046
1.0566863660639132,0.14159726232785252,-0.03348574671842292
1.0623827885224788,0.02514162980940939,0.00903445533779755
1.0680792109810444,-0.08710255165881696,-0.0137367564842812
1.07377563343961,-0.22729639002660187,0.043576383400682844
1.0794720558981756,-0.23719732374729052,0.05100165804042684
1.085168478356741,-0.0513216266308751,0.047668294494916844
1.0908649008153066,-0.07420438357675621,-0.046729890677758686
1.0965613232738722,0.16937098793092767,-0.1410845767335376
1.1022577457324378,0.18651356581954376,-0.06030469730774486
1.1079541681910035,0.2967968373524876,0.028585925321358657
1.1136505906495688,0.3271196239372103,0.09254013832155111
1.1193470131081344,0.18715724567211606,0.1293031591643569
1.1250434355667,0.007374701060076882,0.08913027413093302
1.1307398580252657,0.11085729728511316,0.0014858971310139292
1.1364362804838313,0.12132770131678842,-0.09895982302975902
1.1421327029423967,0.28468744000861285,-0.10228372543769469
1.1478291254009623,0.23148234677697674,-0.12883833503794095
1.1535255478595279,0.2503511121990214,-0.2511754772762255
1.1592219703180935,0.5990258302773075,-0.1646583648181886
1.164918392776659,0.5355604232355319,-0.27456047546961804
1.1706148152352245,0.2677541921794307,-0.19135430994873193
1.17631123769379,-0.15223026243561233,-0.20308942718338152
1.1820076601523557,-0.15518917748006233,-0.2553153847957317
1.1877040826109213,-0.046799730871688185,-0.10018873458444899
1.193400505069487,0.006996856722714463,-0.08587103316213975
1.1990969275280525,-0.02779022765548921,-0.1382993589279734
1.2047933499866181,0.4068095828213519,-0.22337325806017258
1.2104897724451837,0.3018962452296596,-0.37672702069802505
1.2161861949037494,0.25998740898863354,-0.3183294842117349
1.221882617362315,0.07283611238802254,-0.20774736779394398
1.2275790398208803,-0.1332142639679723,-0.3152535018527908
1.233275462279446,-0.21614483852626118,-0.2870487200679476
1.2389718847380116,-0.3328583338723709,-0.46306263495538214
1.2446683071965772,-0.22409393615539833,-0.31795173377135716
1.2503647296551428,-0.176435146818054,-0.20001697924211795
1.2560611521137082,-0.07508941585061918,-0.1942463017638967
1.2617575745722738,-0.12086974085168824,-0.08139568998937002
1.2674539970308394,-0.3329976894315433,-0.05720556012611755
1.273150419489405,-0.3645161067474453,-0.07281352432982752
1.2788468419479706,-0.2193382496323385,-0.11135711198968376
1.284543264406536,0.17423875504513936,-0.25939322666740594
1.2902396868651016,0.057548281377249516,-0.33875504589362815
1.2959361093236672,0.01520923638795672,-0.3225688583652149
1.3016325317822328,0.05928990004222042,-0.29027267586532435
1.3073289542407984,0.12228799562404283,-0.22709521960174664
1.3130253766993638,0.07642244411841374,-0.24360329690982405
1.3187217991579294,-0.043520012146601304,-0.09494823738329776
1.324418221616495,-0.33356287184603944,-0.1677908172199933
1.3301146440750606,-0.41906634291187217,-0.04846270960334556
1.3358110665336262,-0.45875891073786357,-0.04129250181339595
1.3415074889921916,-0.524924035052666,-0.10454905530651441
1.3472039114507572,-0.4532118170907392,-0.026746020703042547
1.3529003339093228,-0.39313886991393754,0.026670038699079628
1.3585967563678885,-0.2526869340786457,-0.018388163652641745
1.364293178826454,-0.0454412100481768,-0.09879192292660355
1.3699896012850197,-0.07384894342941561,-0.04770028302560258
1.3756860237435853,0.02816288711849354,0.0034644668973119338
1.381382446202151,0.10355593867566534,0.0715331593791795
1.3870788686607165,0.33148384314294477,-0.049104088968834794
1.3927752911192819,0.09870694733712282,-0.1804801119526779
1.3984717135778475,0.06361912831095498,-0.0934479310023446
1.404168136036413,-0.09267148190427016,0.04744792820539852
1.4098645584949787,0.029895722246123975,0.14397806455674514
1.4155609809535443,0.05010845840131525,0.16077502126565285
1.4212574034121097,0.03736480421415275,0.07698180209677652
1.4269538258706753,-0.05405645592704403,0.13174098527785272
1.432650248329241,-0.007004321928638241,0.13407462363928307
1.4383466707878065,-0.03102797843920793,0.061620814134067045
1.4440430932463721,0.0013873246494974544,-0.08502478039676617
1.4497395157049375,0.1533520645339183,-0.1442314275466184
1.4554359381635031,0.22263317089756843,-0.07107044924983982
1.4611323606220687,0.24744718551502964,0.05818756675500343
1.4668287830806344,0.2673149553959398,0.0392833327963474
1.4725252055392,0.19662361170011597,0.05969833692813985
1.4782216279977654,0.1690126909301099,0.032596332689912924
1.483918050456331,-0.19211882569494293,-0.034404087359629465
1.4896144729148966,-0.5602354814216468,-0.258895428442328
1.4953108953734622,-0.43802544316812003,-0.35275863534987767
1.5010073178320278,0.12326710617517922,-0.5234111531983019
1.5067037402905932,0.6201943446715119,-0.46325802400561267
1.5124001627491588,0.9855321089638112,-0.4325538388601683
1.5180965852077244,0.6768025216321059,-0.35688369167413264
1.52379300766629,0.47710659223222046,-0.3045855143471083
1.5294894301248556,0.34123011670117404,-0.3226594766965549
1.535185852583421,-0.049562151814214805,-0.2536913318482216
1.5408822750419866,-0.481611879098909,-0.20666983598206506
1.5465786975005522,-0.8171885918612258,-0.1504134216565484
1.5522751199591178,-0.7901361441671636,-0.14844300859018134
1.5579715424176834,-0.6286063307837504,-0.1444906146550477
1.563667964876249,-0.3826537379142661,-0.24160658176508845
1.5693643873348146,-0.2796792215679614,-0.4169623564423747
1.5750608097933803,-0.2104019335522232,-0.36203282240406237
1.5807572322519459,-0.30220861331601756,-0.26804173145227816
1.5864536547105113,-0.3062337081876458,-0.10406940697106769
1.5921500771690769,-0.0578796391818311,-0.15117810788216443
1.5978464996276425,0.017114835763051388,-0.2470240921073563
1.6035429220862079,0.05185332483226107,-0.33257328431828337
1.6092393445447735,-0.052712585469407616,-0.25391006532834004
1.614935767003339,-0.07235053831973083,-0.04793347987419289
1.6206321894619045,0.03545261700859809,-0.07191950002798667
1.62632861192047,-0.02029128994629887,-0.18419225618576227
1.6320250343790357,0.0716211568412782,-0.23790430290140396
1.6377214568376013,0.17679560925282925,-0.11362192894551293
1.643417879296167,0.20985531835595778,0.049964509628786284
1.6491143017547327,0.14450930316983487,0.007180301047590292
1.6548107242132983,0.09546217380605447,-0.08779047135406806
1.660507146671864,0.026986146045950284,-0.21391782835430304
1.6662035691304293,-0.02800503439639577,-0.1617624068961579
1.671899991588995,0.02949131039999621,-0.044669171161391685
1.6775964140475605,-0.15122127644360794,-0.041326843652331684
1.6832928365061262,-0.17757315479526645,0.027062420941805953
1.6889892589646918,-0.20238396506428272,-0.030604789033130433
1.6946856814232572,-0.05947315701550574,-0.03733718092117933
1.7003821038818228,-0.08834070948359664,-0.03672196464067312
1.7060785263403884,-0.23201817393582916,-0.07809969009866385
1.711774948798954,-0.2681873242028901,-0.08814339329456711
1.7174713712575196,-0.26353636913223744,-0.10840844813814603
1.723167793716085,0.03630207168160571,-0.049427045931093705
1.7288642161746506,-0.0018250274476981434,-0.1225494768356759
1.7345606386332162,-0.0789067296066367,-0.18212008427538776
1.7402570610917818,-0.16478847316652387,-0.3115005237769912
1.7459534835503474,-0.12331250857584883,-0.23614498133839976
1.7516499060089128,-0.0594003242226262,-0.19418289909405845
1.7573463284674784,0.08505753046800683,-0.16668429840264548
1.763042750926044,-0.0019660069379265023,-0.1284666268270316
1.7687391733846096,-0.03438422254768713,-0.12909441605529898
1.7744355958431752,-0.0677713084058994,-0.0673713851719837
1.7801320183017406,0.10308090016522203,-0.009877023652116866
1.7858284407603062,0.12798708454332777,-0.061904397130732015
1.7915248632188718,0.14873083233834417,-0.03673419496934511
1.7972212856774374,0.19044641207788826,-0.029354414619327147
1.802917708136003,0.22779983885448737,-0.02766532516704193
1.8086141305945684,0.26659466928035624,-0.07275308927827076
1.814310553053134,0.3277892392202693,-0.2637414348843479
1.8200069755116997,0.05861876008877451,-0.3096669581975021
1.8257033979702653,-0.07497063047940228,-0.2170877277815995
1.8313998204288309,-0.1650346821074287,-0.175062773334994
1.8370962428873963,-0.08384608411427745,-0.07908294875128079
1.8427926653459619,-0.15577033474273808,-0.09678611640751891
1.8484890878045275,-0.18073965648797832,-0.08709532395688686
1.854185510263093,-0.26134748812372127,-0.14609259093665977
1.8598819327216587,-0.31659310900182475,-0.13226405445205167
1.865578355180224,-0.17164479524803508,-0.1301524860374535
1.8712747776387897,-0.10430555752931893,-0.08981297738809099
1.8769712000973553,-0.11906098323202075,-0.08964231160492343
